slot,group,required_case,image_path,rule_is_clear,notes
01,basler_120126,clear_wrapped,basler_120126/Image__2026-01-12__16-32-11.bmp,yes,В центральной части кадра хорошо видны отдельно лежащие конфеты в обёртке. Упаковка и хвосты обёртки уверенно различимы.
02,basler_120126,clear_unwrapped,basler_120126/Image__2026-01-12__16-36-56.bmp,yes,Между двумя группами отдельно лежит хорошо различимая конфета без обёртки. В правой верхней части также видна отдельная конфета в обёртке.
03,basler_120126,dense_overlap,basler_120126/Image__2026-01-12__17-00-15.bmp,yes,В центре кадра находится плотная куча соприкасающихся и частично перекрывающихся конфет.
04,basler_120126,border_candy,basler_120126/Image__2026-01-12__16-33-50.bmp,yes,"У верхней границы несколько конфет частично выходят за пределы кадра. Среди них различимы как конфеты в обёртке, так и конфеты без обёртки. Каждая уверенно различимая конфета размечается по видимой части."
05,basler_120126,difficult_lighting_or_blur,basler_120126/Image__2026-01-12__16-58-18.bmp,no,В правой части кадра присутствует сильный пересвет. Отражения на обёртках мешают уверенно разделить и классифицировать часть объектов в куче.
06,basler_120126,ambiguous_or_artifact,basler_120126/Image__2026-01-12__17-00-05.bmp,no,Центральная плотная куча сильно затемнена. Некоторые конфеты без обёртки находятся под тенями и частично закрыты другими объектами.
07,basler_OldObj,clear_unwrapped_single,basler_OldObj/Image__2025-12-29__16-04-04.bmp,yes,В кадре находится ровно одна хорошо различимая конфета без обёртки. Её поверхность и границы уверенно видны.
08,basler_OldObj,several_unwrapped,basler_OldObj/Image__2025-12-29__16-05-08.bmp,yes,В кадре расположено несколько конфет без обёртки. Объекты не перекрываются и хорошо отделяются друг от друга.
09,basler_OldObj,clear_wrapped,basler_OldObj/Image__2025-12-29__16-07-28.bmp,yes,Немного выше центра среди незавёрнутых конфет находится хорошо различимая конфета в обёртке. Упаковочный материал и хвосты видны.
10,basler_OldObj,dense_overlap,basler_OldObj/Image__2025-12-29__16-02-54.bmp,yes,Практически весь кадр занимает большая плотная куча соприкасающихся и частично перекрывающихся конфет.
11,basler_OldObj,border_candy,basler_OldObj/Image__2025-12-29__16-09-21.bmp,yes,"У верхней границы несколько конфет частично выходят за пределы кадра. Среди них различимы конфеты как в обёртке, так и без неё. Их следует размечать по видимой части."
12,basler_OldObj,ambiguous_or_artifact,basler_OldObj/Image__2025-12-29__16-12-05.bmp,no,Слева от центра несколько конфет и хвостов обёрток перекрываются. Для части объектов неочевидны точные границы отдельных рамок.
13,basler_tstRGB,clear_unwrapped,basler_tstRGB/RGB_blue_E100000.bmp,yes,В центральной части кадра хорошо видны несколько групп конфет без обёртки. Среди них присутствуют отдельно лежащие объекты с чётко различимыми границами.
14,basler_tstRGB,mixed_wrapped_unwrapped,basler_tstRGB/RGB_green_E100000.bmp,yes,"В центре хорошо различимы конфеты без обёртки, а в правой нижней части находятся несколько конфет в обёртке. Оба класса представлены на одном изображении."
15,basler_tstRGB,moderate_overlap_or_wrapper_overlap,basler_tstRGB/upper_white_E12000.bmp,yes,"Настоящей плотной кучи нет, но несколько конфет соприкасаются, а хвосты соседних обёрток частично перекрываются. Различимые конфеты следует размечать отдельными рамками."
16,basler_tstRGB,border_candy,basler_tstRGB/RGB_red_E100000.bmp,yes,У правой границы несколько конфет в обёртке частично выходят за пределы изображения. Каждая уверенно различимая конфета размечается по видимой части.
17,basler_tstRGB,difficult_lighting_or_overexposure,basler_tstRGB/RGB_white_E100000.bmp,yes,"Изображение имеет очень высокую яркость. Значительная часть фона, особенно справа, почти белая, однако основные конфеты и признаки наличия обёртки остаются различимыми."
18,images,sticker_with_candies,images/20260116_155352_059.bmp,yes,"В центральной части изображения находится белый калибровочный стикер. В кадре одновременно присутствуют хорошо различимые конфеты в обёртке и без обёртки. Стикер игнорируется, а конфеты размечаются."
19,images,sticker_without_candies,images/20260116_155328_028.bmp,yes,"На изображении присутствует только белый калибровочный стикер, конфет нет. Стикер не размечается, а изображение используется как отрицательный пример с пустым файлом меток."
20,images,clear_wrapped,images/20260116_155349_837.bmp,yes,В кадре находятся несколько хорошо различимых конфет в обёртке. Упаковочный материал и границы объектов уверенно видны.
21,images,clear_unwrapped,images/20260116_155409_927.bmp,yes,В кадре находятся несколько хорошо различимых конфет без обёртки. Открытая поверхность и границы объектов уверенно видны.
22,images,moderate_overlap_or_wrapper_overlap,images/20260116_163012_120.bmp,yes,"Несколько конфет соприкасаются, а хвосты соседних обёрток частично перекрываются. Различимые конфеты следует размечать отдельными рамками."
23,images,border_candy,images/20260116_161622_390.bmp,yes,У нижней границы две конфеты примерно наполовину выходят за пределы изображения. Каждая различимая конфета размечается отдельной рамкой по видимой части.
